index,symbol,companyName,listedDate,floor,industryName
81,DGW,Công ty Cổ phần Thế giới Số,2015-08-03,HOSE,Bán lẻ tổng hợp
82,DHA,Công ty Cổ phần Hoá An,2004-04-14,HOSE,Vật liệu xây dựng
83,DHC,Công ty Cổ phần Đông Hải Bến Tre ,2009-07-23,HOSE,Giấy
84,DHG,Công ty Cổ phần Dược Hậu Giang,2006-12-21,HOSE,Dược phẩm
85,DHM,Công ty cổ phần thương mại và khai thác khoáng sản Dương Hiếu,2012-07-24,HOSE,Khai khoáng nói chung
86,DIG,Tổng công ty Đầu tư phát triển Xây dựng,2009-08-19,HOSE,Đầu tư và phát triển bất động sản
87,DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,2010-06-22,HOSE,"Đồ đạc, nội thất"
88,DMC,Công ty Cổ phần Xuất nhập khẩu Y tế Domesco,2006-12-25,HOSE,Thiết bị y tế
89,DPG,Công ty Cổ phần Tập đoàn Đạt Phương,2018-05-22,HOSE,Xây dựng công trình
90,DPM,Tổng Công ty Cổ phần Phân bón và Hóa chất dầu khí,2007-11-05,HOSE,Hóa chất đặc biệt
91,DPR,Công ty Cổ phần Cao su Đồng Phú,2007-11-30,HOSE,Hóa chất cơ bản
92,DQC,Công ty Cổ phần Bóng đèn Điện Quang,2008-02-21,HOSE,Thiết bị điện
93,DRC,Công ty Cổ phần Cao Su Đà Nẵng,2006-12-29,HOSE,Săm lốp
94,DRH,Công ty Cổ phần DRH Holdings,2010-07-26,HOSE,Đầu tư và phát triển bất động sản
95,DRL,Công ty Cổ phần Thủy Điện - Điện lực 3,2012-04-11,HOSE,Điện
96,DSN,Công ty Cổ phần Công viên nước Đầm Sen,2010-10-26,HOSE,Dịch vụ vui chơi giải trí
97,DTA,Công ty Cổ phần Đệ Tam,2010-07-16,HOSE,Đầu tư và phát triển bất động sản
98,DTL,Công ty Cổ phần Đại Thiên Lộc ,2010-06-04,HOSE,Thép
99,DTT,Công ty Cổ phần Kỹ nghệ Đô Thành ,2006-12-22,HOSE,Hóa chất đặc biệt
100,DVP,Công ty Cổ phần Đầu tư và Phát triển cảng Đình Vũ,2009-12-01,HOSE,Dịch vụ vận tải
101,DXG,Công ty Cổ phần Tập đoàn Đất Xanh,2009-12-22,HOSE,Đầu tư và phát triển bất động sản
102,DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,2021-09-06,HOSE,Dịch vụ bất động sản
103,DXV,Công ty Cổ phần ViCem Vật liệu xây dựng Đà Nẵng,2008-02-26,HOSE,Vật liệu xây dựng
