index,symbol,companyName,listedDate,floor,industryName
383,ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài,2018-08-10,UPCOM,Dịch vụ cung ứng lao động và đào tạo
384,ILS,Công ty cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,2018-03-19,UPCOM,Dịch vụ giao nhận
385,IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp ,2009-12-01,UPCOM,Xây dựng công trình
386,IN4,Công ty Cổ phần In số 4,2010-05-19,UPCOM,Hoạt động xuất bản
387,IPH,Công ty cổ phần In và Phát hành biểu mẫu thống kê,2019-07-03,UPCOM,Hoạt động xuất bản
388,IRC,Công ty cổ phần Cao su Công nghiệp,2018-01-22,UPCOM,Săm lốp
389,ISG,Công ty Cổ phần Vận tải biển và Hợp tác lao động quốc tế,2015-09-22,UPCOM,Vận tải biển
390,ISH,Công ty Cổ phần thủy điện SROK Phu Miêng IDICO,2015-06-29,UPCOM,Điện
391,IST,Công ty cổ phần ICD Tân Cảng Sóng Thần,2017-01-05,UPCOM,Dịch vụ vận tải
392,ITS,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",2015-12-18,UPCOM,Cung ứng
393,JOS,Công ty cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,2017-07-28,UPCOM,Nông sản và thủy hải sản
394,KAC,Công ty Cổ phần Đầu tư Địa ốc Khang An,2019-09-16,UPCOM,Đầu tư và phát triển bất động sản
395,KCB,Công ty Cổ phần Khoáng Sản Luyện Kim Cao Bằng,2015-12-01,UPCOM,Kim loại màu
396,KCE,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,2011-02-08,UPCOM,Vật liệu xây dựng
397,KGM,Công ty cổ phần Xuất nhập khẩu Kiên Giang,2017-09-21,UPCOM,Sản xuất thực phẩm
398,KHA,Công ty Cổ phần Đầu tư và Dịch vụ Khánh Hội,2018-05-11,UPCOM,Đầu tư và phát triển bất động sản
399,KHB,Công ty Cổ phần Khoáng sản Hòa Bình,2019-06-28,UPCOM,Khai khoáng nói chung
400,KHD,"Công ty cổ phần khai thác, chế biến khoáng sản Hải Dương",2016-12-22,UPCOM,Khai khoáng nói chung
401,KHL,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,2018-06-08,UPCOM,Vật liệu xây dựng
402,KHW,Công ty cổ phần Cấp thoát nước Khánh Hòa,2017-02-20,UPCOM,Nước
403,KIP,Công ty cổ phần K.I.P Việt Nam,2016-04-12,UPCOM,Thiết bị điện
404,KLB,Ngân hàng Thương mại Cổ phần Kiên Long,2017-06-29,UPCOM,Ngân hàng
405,KLM,CÔNG TY CỔ PHẦN KIM LOẠI MÀU NGHỆ TĨNH,2019-12-30,UPCOM,Khai khoáng nói chung
406,KSH,Công ty Cổ phần DAMAC GLS,2019-09-19,UPCOM,Khai khoáng nói chung
407,KSK,Công ty Cổ phần Khoáng sản Luyện kim màu ,2020-06-04,UPCOM,Công nghiệp đa ngành
408,KSV,Tổng công ty Khoáng sản TKV - CTCP,2016-07-28,UPCOM,Khai khoáng nói chung
409,KTC,Công ty Cổ phần Thương mại Kiên Giang,2018-06-22,UPCOM,Bán lẻ tổng hợp
410,KTL,Công ty Cổ phần kim khí Thăng Long ,2015-01-14,UPCOM,Các sản phẩm gia dụng lâu bền
411,L12,Công ty cổ phần Licogi 12,2017-01-03,UPCOM,Xây dựng công trình
412,L44,Công ty Cổ phần Lilama 45.4,2018-06-08,UPCOM,Xây dựng công trình
413,L45,Công ty cổ phần Lilama 45.1,2016-10-20,UPCOM,Vật liệu xây dựng
414,L63,Công ty Cổ phần Lilama 69-3,2016-10-06,UPCOM,Vật liệu xây dựng
415,LAI,Công ty Cổ phần Đầu tư xây dựng Long An IDICO ,2015-08-10,UPCOM,Đầu tư và phát triển bất động sản
416,LAW,Công ty Cổ phần Cấp thoát nước Long An,2015-12-21,UPCOM,Nước
417,LBC,Công ty cổ phần Thương mại - Đầu tư Long Biên,2017-08-16,UPCOM,Dịch vụ tiêu dùng chuyên dụng
418,LCC,CTCP Xi măng Hồng Phong,2010-05-06,UPCOM,Vật liệu xây dựng
419,LCW,Công ty Cổ phần nước sạch Lai Châu,2016-11-30,UPCOM,Nước
420,LDW,Công ty cổ phần Cấp thoát nước Lâm Đồng,2018-03-16,UPCOM,Nước
421,LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,2017-12-18,UPCOM,Xây dựng công trình
422,LGM,Công ty Cổ phần Giày da và May mặc Xuất khẩu (LEGAMEX),2019-12-18,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
423,LIC,Tổng Công ty LICOGI - CTCP,2017-06-05,UPCOM,Xây dựng công trình
424,LKW,Công ty Cổ phần Cấp nước Long Khánh,2012-07-04,UPCOM,Nước
425,LLM,Tổng công ty lắp máy Việt Nam - Công ty Cổ phần,2017-08-16,UPCOM,Xây dựng công trình
426,LM3,Công ty Cổ phần Lilama 3 ,2015-06-01,UPCOM,Xây dựng công trình
427,LMC,Công ty cổ phần Khoáng sản Latca,2017-09-21,UPCOM,Khai khoáng nói chung
428,LMH,Công ty cổ phần quốc tế Holding,2020-06-29,UPCOM,Bán lẻ tổng hợp
429,LMI,Công ty Cổ phần Đầu tư Xây dựng lắp máy IDICO,2017-07-20,UPCOM,Xây dựng công trình
